Start,Length,0,0.382,0.618,1,1.618,2.618,4.236,Total_Overlaps,loc_0,loc_0.382,loc_0.618,loc_1,loc_1.618,loc_2.618,loc_4.236
632,96,1,0,0,1,1,0,1,4,632,668.672,691.328,728,787.328,883.328,1038.656
634,75,1,0,0,1,1,0,0,3,634,662.65,680.35,709,755.35,830.35,951.7
639,61,1,0,1,1,1,1,0,5,639,662.302,676.698,700,737.698,798.698,897.396
639,89,1,0,0,1,1,0,0,3,639,672.998,694.002,728,783.002,872.002,1016.0039999999999
639,96,1,0,0,1,1,0,0,3,639,675.672,698.328,735,794.328,890.328,1045.656
643,34,1,0,1,1,0,0,1,4,643,655.988,664.012,677,698.012,732.012,787.024
643,92,1,0,1,1,0,0,0,3,643,678.144,699.856,735,791.856,883.856,1032.712
648,55,1,0,1,1,0,0,0,3,648,669.01,681.99,703,736.99,791.99,880.98
658,86,1,0,1,1,0,0,0,3,658,690.852,711.148,744,797.148,883.148,1022.296
664,96,1,0,0,1,1,0,0,3,664,700.672,723.328,760,819.328,915.328,1070.656
682,34,1,0,1,1,0,1,0,4,682,694.988,703.012,716,737.012,771.012,826.024
699,84,1,0,1,1,1,0,0,4,699,731.088,750.912,783,834.912,918.912,1054.824
699,88,1,0,0,1,0,1,0,3,699,732.616,753.384,787,841.384,929.384,1071.768
700,55,1,0,0,1,0,1,0,3,700,721.01,733.99,755,788.99,843.99,932.98
703,75,1,0,0,1,1,0,0,3,703,731.65,749.35,778,824.35,899.35,1020.7
716,35,1,0,1,1,0,0,0,3,716,729.37,737.63,751,772.63,807.63,864.26
719,75,1,0,0,1,1,0,0,3,719,747.65,765.35,794,840.35,915.35,1036.7
728,88,1,0,0,1,1,0,0,3,728,761.616,782.384,816,870.384,958.384,1100.768
728,96,1,0,1,1,0,1,0,4,728,764.672,787.328,824,883.328,979.328,1134.656
735,34,1,0,0,1,0,1,0,3,735,747.988,756.012,769,790.012,824.012,879.024
735,75,1,0,0,1,0,1,0,3,735,763.65,781.35,810,856.35,931.35,1052.7
735,84,1,0,1,1,0,1,1,5,735,767.088,786.912,819,870.912,954.912,1090.824
738,61,1,0,0,1,1,0,0,3,738,761.302,775.698,799,836.698,897.698,996.396
738,99,1,0,1,1,0,0,0,3,738,775.818,799.182,837,898.182,997.182,1157.364
740,88,1,0,1,1,1,0,0,4,740,773.616,794.384,828,882.384,970.384,1112.768
744,34,1,0,0,1,1,1,0,4,744,756.988,765.012,778,799.012,833.012,888.024
744,55,1,0,1,1,1,0,0,4,744,765.01,777.99,799,832.99,887.99,976.98
744,75,1,0,0,1,1,0,0,3,744,772.65,790.35,819,865.35,940.35,1061.7
744,84,1,0,0,1,1,0,1,4,744,776.088,795.912,828,879.912,963.912,1099.824
755,55,1,0,0,1,1,0,1,4,755,776.01,788.99,810,843.99,898.99,987.98
755,89,1,0,1,1,0,1,1,5,755,788.998,810.002,844,899.002,988.002,1132.004
760,34,1,0,0,1,0,1,1,4,760,772.988,781.012,794,815.012,849.012,904.024
760,84,1,0,1,1,0,0,0,3,760,792.088,811.912,844,895.912,979.912,1115.824
769,96,1,0,1,1,0,0,0,3,769,805.672,828.328,865,924.328,1020.328,1175.656
771,45,1,0,1,1,1,0,0,4,771,788.19,798.81,816,843.81,888.81,961.62
771,99,1,0,0,1,1,1,0,4,771,808.818,832.182,870,931.182,1030.182,1190.364
778,34,1,0,1,1,1,1,1,6,778,790.988,799.012,812,833.012,867.012,922.024
778,92,1,0,1,1,0,0,1,4,778,813.144,834.856,870,926.856,1018.856,1167.712
783,50,1,0,0,1,0,1,0,3,783,802.1,813.9,833,863.9,913.9,994.8
783,54,1,0,1,1,1,0,1,5,783,803.628,816.372,837,870.372,924.372,1011.744
783,61,1,0,0,1,1,0,0,3,783,806.302,820.698,844,881.698,942.698,1041.396
783,84,1,0,1,1,0,0,1,4,783,815.088,834.912,867,918.912,1002.912,1138.824
783,99,1,0,1,1,0,0,0,3,783,820.818,844.182,882,943.182,1042.182,1202.364
794,34,1,0,0,1,1,0,1,4,794,806.988,815.012,828,849.012,883.012,938.024
794,55,1,0,1,1,0,1,0,4,794,815.01,827.99,849,882.99,937.99,1026.98
799,50,1,0,0,1,1,0,0,3,799,818.1,829.9,849,879.9,929.9,1010.8
799,81,1,0,1,1,0,0,0,3,799,829.942,849.058,880,930.058,1011.058,1142.116
810,34,1,0,0,1,1,0,0,3,810,822.988,831.012,844,865.012,899.012,954.024
810,55,1,0,1,1,0,0,0,3,810,831.01,843.99,865,898.99,953.99,1042.98
812,92,1,0,0,1,1,0,0,3,812,847.144,868.856,904,960.856,1052.856,1201.712
816,88,1,0,1,1,0,0,0,3,816,849.616,870.384,904,958.384,1046.384,1188.768
